date,country,location,entity,value
2020-03-29,GB,Darlington,grocery_pharm,-0.47
2020-03-29,GB,Darlington,parks,-0.57
2020-03-29,GB,Darlington,transit,-0.75
2020-03-29,GB,Darlington,workplace,-0.51
2020-03-29,GB,Darlington,residential,0.26
2020-03-29,GB,Denbighshire,retail_recr,-0.84
2020-03-29,GB,Denbighshire,grocery_pharm,-0.43
2020-03-29,GB,Denbighshire,parks,-0.59
2020-03-29,GB,Denbighshire,transit,-0.7
2020-03-29,GB,Denbighshire,workplace,-0.52
2020-03-29,GB,Denbighshire,residential,0.14
2020-03-29,GB,Derby,retail_recr,-0.85
2020-03-29,GB,Derby,grocery_pharm,-0.46
2020-03-29,GB,Derby,parks,-0.55
2020-03-29,GB,Derby,transit,-0.81
2020-03-29,GB,Derby,workplace,-0.55
2020-03-29,GB,Derby,residential,0.19
2020-03-29,GB,Derbyshire,retail_recr,-0.86
2020-03-29,GB,Derbyshire,grocery_pharm,-0.43
2020-03-29,GB,Derbyshire,parks,-0.55
2020-03-29,GB,Derbyshire,transit,-0.66
2020-03-29,GB,Derbyshire,workplace,-0.55
2020-03-29,GB,Derbyshire,residential,0.15
2020-03-29,GB,Derry and Strabane,retail_recr,-0.8
2020-03-29,GB,Derry and Strabane,grocery_pharm,-0.39
2020-03-29,GB,Derry and Strabane,parks,-0.63
2020-03-29,GB,Derry and Strabane,transit,-0.6
2020-03-29,GB,Derry and Strabane,workplace,-0.54
2020-03-29,GB,Derry and Strabane,residential,0.25
2020-03-29,GB,Devon,retail_recr,-0.87
2020-03-29,GB,Devon,grocery_pharm,-0.51
2020-03-29,GB,Devon,parks,-0.54
2020-03-29,GB,Devon,transit,-0.73
2020-03-29,GB,Devon,workplace,-0.54
2020-03-29,GB,Devon,residential,0.15
2020-03-29,GB,Dorset,retail_recr,-0.87
2020-03-29,GB,Dorset,grocery_pharm,-0.47
2020-03-29,GB,Dorset,parks,-0.57
2020-03-29,GB,Dorset,transit,-0.7
2020-03-29,GB,Dorset,workplace,-0.57
2020-03-29,GB,Dorset,residential,0.15
2020-03-29,GB,Dumfries and Galloway,retail_recr,-0.8
2020-03-29,GB,Dumfries and Galloway,grocery_pharm,-0.42
2020-03-29,GB,Dumfries and Galloway,parks,-0.48
2020-03-29,GB,Dumfries and Galloway,transit,-0.75
2020-03-29,GB,Dumfries and Galloway,workplace,-0.49
2020-03-29,GB,Dumfries and Galloway,residential,0.22
2020-03-29,GB,Dundee City Council,retail_recr,-0.83
2020-03-29,GB,Dundee City Council,grocery_pharm,-0.52
2020-03-29,GB,Dundee City Council,parks,-0.1
2020-03-29,GB,Dundee City Council,transit,-0.71
2020-03-29,GB,Dundee City Council,workplace,-0.56
2020-03-29,GB,Dundee City Council,residential,0.26
2020-03-29,GB,East Ayrshire Council,retail_recr,-0.83
2020-03-29,GB,East Ayrshire Council,grocery_pharm,-0.39
2020-03-29,GB,East Ayrshire Council,parks,NA
2020-03-29,GB,East Ayrshire Council,transit,-0.55
2020-03-29,GB,East Ayrshire Council,workplace,-0.51
2020-03-29,GB,East Ayrshire Council,residential,0.26
2020-03-29,GB,East Dunbartonshire Council,retail_recr,-0.75
2020-03-29,GB,East Dunbartonshire Council,grocery_pharm,-0.35
2020-03-29,GB,East Dunbartonshire Council,parks,NA
2020-03-29,GB,East Dunbartonshire Council,transit,-0.54
2020-03-29,GB,East Dunbartonshire Council,workplace,-0.56
2020-03-29,GB,East Dunbartonshire Council,residential,0.19
2020-03-29,GB,East Lothian Council,retail_recr,-0.81
2020-03-29,GB,East Lothian Council,grocery_pharm,-0.37
2020-03-29,GB,East Lothian Council,parks,-0.34
2020-03-29,GB,East Lothian Council,transit,-0.57
2020-03-29,GB,East Lothian Council,workplace,-0.56
2020-03-29,GB,East Lothian Council,residential,0.17
2020-03-29,GB,East Renfrewshire Council,retail_recr,-0.63
2020-03-29,GB,East Renfrewshire Council,grocery_pharm,-0.29
2020-03-29,GB,East Renfrewshire Council,parks,-0.54
2020-03-29,GB,East Renfrewshire Council,transit,-0.51
2020-03-29,GB,East Renfrewshire Council,workplace,-0.56
2020-03-29,GB,East Renfrewshire Council,residential,0.19
2020-03-29,GB,East Riding of Yorkshire,retail_recr,-0.85
2020-03-29,GB,East Riding of Yorkshire,grocery_pharm,-0.45
2020-03-29,GB,East Riding of Yorkshire,parks,-0.61
2020-03-29,GB,East Riding of Yorkshire,transit,-0.51
2020-03-29,GB,East Riding of Yorkshire,workplace,-0.52
2020-03-29,GB,East Riding of Yorkshire,residential,0.14
2020-03-29,GB,East Sussex,retail_recr,-0.87
2020-03-29,GB,East Sussex,grocery_pharm,-0.46
2020-03-29,GB,East Sussex,parks,-0.6
2020-03-29,GB,East Sussex,transit,-0.68
2020-03-29,GB,East Sussex,workplace,-0.57
2020-03-29,GB,East Sussex,residential,0.14
2020-03-29,GB,Edinburgh,retail_recr,-0.86
2020-03-29,GB,Edinburgh,grocery_pharm,-0.44
2020-03-29,GB,Edinburgh,parks,-0.42
2020-03-29,GB,Edinburgh,transit,-0.83
2020-03-29,GB,Edinburgh,workplace,-0.67
2020-03-29,GB,Edinburgh,residential,0.18
2020-03-29,GB,Essex,retail_recr,-0.84
2020-03-29,GB,Essex,grocery_pharm,-0.49
2020-03-29,GB,Essex,parks,-0.58
2020-03-29,GB,Essex,transit,-0.85
2020-03-29,GB,Essex,workplace,-0.56
2020-03-29,GB,Essex,residential,0.16
